-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::item         0.00%       1.159ms        10.42%        3.763s       1.865ms       0.000us         0.00%      41.729us       0.021us           0 B           0 B           0 B           0 B          2018  
                              aten::_local_scalar_dense         0.00%       1.212ms        10.42%        3.762s       1.864ms      41.729us         0.00%      41.729us       0.021us           0 B           0 B           0 B           0 B          2018  
                                       aten::lift_fresh         0.00%     217.577us         0.00%     217.577us       0.240us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           908  
                                             aten::view         0.43%     153.924ms         0.43%     153.924ms       0.759us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B        202739  
                                          aten::reshape         0.31%     112.547ms         1.91%     688.792ms      10.957us       0.000us         0.00%     366.990ms       5.838us     432.06 MB           0 B     100.10 GB           0 B         62863  
                                               cudaFree         0.54%     193.271ms         0.54%     193.271ms       1.074ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           180  
                                Activity Buffer Request         0.20%      72.692ms         0.20%      72.692ms       1.913ms     648.383us         0.00%     648.383us      17.063us           0 B           0 B           0 B           0 B            38  
                                         aten::uniform_         1.26%     455.509ms         1.26%     455.509ms       1.604ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           284  
                                            aten::randn         0.00%      12.805us         0.03%      11.627ms       2.907ms       0.000us         0.00%       0.000us       0.000us      16.25 MB           0 B           0 B           0 B             4  
                                          aten::normal_         0.03%      11.751ms         0.03%      11.896ms     517.236us      35.520us         0.00%      35.520us       1.544us           0 B           0 B           0 B           0 B            23  
                                             aten::ones         0.00%     888.545us         0.01%       4.091ms      12.989us       0.000us         0.00%     318.399us       1.011us      82.75 KB           0 B     518.00 KB           0 B           315  
                                          aten::flatten         0.00%     291.089us         0.00%     523.716us       4.293us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           122  
                                        aten::transpose         0.23%      84.691ms         0.32%     117.089ms       2.637us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         44404  
                                                aten::t         0.11%      40.643ms         0.28%     100.752ms       4.345us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         23189  
                                       aten::empty_like         0.06%      21.684ms         0.33%     117.964ms       9.341us       0.000us         0.00%       0.000us       0.000us       2.11 GB           0 B     307.61 GB           0 B         12628  
                                     aten::_unsafe_view         0.05%      17.153ms         0.05%      17.153ms       1.340us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         12803  
                                     aten::resolve_conj         0.00%      73.362us         0.00%      73.362us       0.287us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           256  
                                             aten::add_         0.91%     326.847ms         6.04%        2.182s      44.082us     890.361ms         3.41%        1.272s      25.709us           0 B           0 B           0 B           0 B         49493  
                                           aten::expand         0.04%      16.111ms         0.05%      19.689ms       2.320us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          8488  
                                           aten::arange         0.00%     951.374us         0.27%      95.724ms     405.611us     194.878us         0.00%     711.228us       3.014us       2.00 KB           0 B     234.00 KB           0 B           236  
                                            aten::slice         0.14%      51.268ms         0.19%      69.696ms       2.469us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         28232  
                                        aten::unsqueeze         0.05%      19.213ms         0.07%      24.002ms       3.364us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          7135  
                                           aten::narrow         0.07%      24.911ms         0.19%      69.848ms       3.783us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         18465  
                                            aten::chunk         0.01%       4.532ms         0.10%      34.625ms      12.145us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2851  
                                            aten::split         0.03%      10.957ms         0.10%      36.692ms      12.776us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2872  
                                aten::native_layer_norm         0.26%      92.294ms         0.69%     248.427ms      87.722us     331.390ms         1.27%     570.686ms     201.513us     866.25 MB           0 B      98.98 GB           0 B          2832  
                                       aten::zeros_like         0.01%       3.737ms         0.86%     309.892ms     173.999us       0.000us         0.00%       5.721ms       3.212us     576.00 KB           0 B       1.14 GB           0 B          1781  
                                     aten::masked_fill_         0.02%       6.856ms         1.26%     453.538ms     320.295us       2.292ms         0.01%       4.179ms       2.951us           0 B           0 B           0 B           0 B          1416  
                      aten::_transform_bias_rescale_qkv         0.35%     127.118ms         1.20%     432.185ms     349.665us     331.960ms         1.27%     641.692ms     519.169us       1.27 GB           0 B     129.09 GB           0 B          1236  
                                  aten::_masked_softmax         0.65%     234.378ms         3.07%        1.108s     896.702us     401.445ms         1.54%     746.001ms     603.561us       1.27 GB           0 B     129.09 GB           0 B          1236  
                                          aten::permute         0.01%       3.551ms         0.01%       5.237ms       3.213us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1630  
                                       aten::contiguous         0.01%       4.993ms         0.44%     157.350ms      32.809us       0.000us         0.00%     183.067ms      38.171us     433.50 MB           0 B      68.72 GB           0 B          4796  
                                             aten::div_         0.03%      12.123ms         0.31%     111.289ms      90.040us      26.688ms         0.10%      49.587ms      40.119us       2.10 KB       2.05 KB           0 B           0 B          1236  
                                   aten::_reshape_alias         0.02%       8.884ms         0.02%       8.884ms       0.914us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          9721  
                                        cudaMemcpyAsync         1.77%     638.339ms         1.77%     638.339ms     285.483us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2236  
                                  cudaStreamSynchronize        11.12%        4.017s        11.12%        4.017s       3.387ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1186  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     380.199ms         1.46%     380.199ms     365.928us           0 B           0 B           0 B           0 B          1039  
                aten::_has_compatible_shallow_copy_type         0.00%      97.816us         0.00%      97.816us       0.068us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1434  
                                            aten::zeros         0.01%       3.412ms         0.84%     303.315ms     180.975us       0.000us         0.00%     106.990ms      63.836us      70.75 KB       2.44 KB      87.19 GB           0 B          1676  
                                          aten::detach_         0.00%     162.535us         0.00%     255.156us       0.924us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           276  
                                                detach_         0.00%      92.621us         0.00%      92.621us       0.336us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           276  
                                  cudaStreamIsCapturing         0.00%       1.037ms         0.00%       1.037ms       0.678us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1530  
                                             cudaMalloc         0.05%      18.064ms         0.05%      18.064ms     126.325us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           143  
                                          aten::random_         0.00%      17.302us         0.00%      17.302us       5.767us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         0.33%     119.093ms         0.36%     130.072ms       8.671ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            15  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     100.273ms         0.38%     100.273ms       2.949ms           0 B           0 B           0 B           0 B            34  
                                           aten::conv2d         0.26%      94.755ms         8.85%        3.197s      81.907us       0.000us         0.00%        2.400s      61.497us           0 B           0 B      39.41 GB           0 B         39032  
                                      aten::convolution         0.38%     135.437ms         8.59%        3.102s      79.479us       0.000us         0.00%        2.400s      61.497us           0 B           0 B      39.41 GB           0 B         39032  
                                       cudaLaunchKernel         8.93%        3.226s        47.83%       17.273s      46.489us       0.000us         0.00%        7.519s      20.236us           0 B           0 B           0 B           0 B        371549  
void implicit_convolve_sgemm<float, float, 1024, 5, ...         0.00%       0.000us         0.00%       0.000us       0.000us      12.892ms         0.05%      12.892ms       8.758us           0 B           0 B           0 B           0 B          1472  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us        1.217s         4.66%        1.217s      21.976us           0 B           0 B           0 B           0 B         55388  
void at::native::(anonymous namespace)::RowwiseMomen...         0.00%       0.000us         0.00%       0.000us       0.000us     150.797ms         0.58%     150.797ms       4.929us           0 B           0 B           0 B           0 B         30592  
void at::native::(anonymous namespace)::ComputeFused...         0.00%       0.000us         0.00%       0.000us       0.000us      60.122ms         0.23%      60.122ms       1.965us           0 B           0 B           0 B           0 B         30592  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      79.203ms         0.30%      79.203ms       2.589us           0 B           0 B           0 B           0 B         30592  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      59.164ms         0.23%      59.164ms       2.015us           0 B           0 B           0 B           0 B         29365  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 36.116s
Self CUDA time total: 26.111s
